block,pot,species,aphid_treat,CO2,live_adult,dead_adult,live_nymph,dead_nymph,total_aphids,shoot_dry_wt,root_dry_wt,sucrose,glucose,fructose,total_sugar
1,17,foxtail barley,infested,Ambient,0,3,0,0,3,1.58,0.41,NA,NA,NA,NA
1,18,foxtail barley,infested,Ambient,0,3,5,1,9,2.25,0.73,NA,NA,NA,NA
1,19,foxtail barley,infested,Ambient,1,2,19,0,22,2.69,0.86,NA,NA,NA,NA
1,20,foxtail barley,infested,Ambient,0,3,4,1,8,1.64,0.33,NA,NA,NA,NA
1,11,foxtail barley,infested,Elevated,0,3,18,0,21,1.15,0.5,NA,NA,NA,NA
1,12,foxtail barley,infested,Elevated,2,1,34,2,39,2.25,0.86,NA,NA,NA,NA
1,13,foxtail barley,infested,Elevated,2,1,31,1,35,1.54,0.68,NA,NA,NA,NA
1,14,foxtail barley,infested,Elevated,1,2,31,0,34,1.25,0.61,NA,NA,NA,NA
1,15,foxtail barley,infested,Elevated,1,2,15,1,19,2.6,0.84,NA,NA,NA,NA
1,16,foxtail barley,infested,Elevated,1,2,22,3,28,2.63,1.21,NA,NA,NA,NA
1,17,foxtail barley,infested,Elevated,1,2,13,0,16,2.15,0.59,NA,NA,NA,NA
1,18,foxtail barley,infested,Elevated,2,1,18,2,23,1.93,0.64,NA,NA,NA,NA
1,19,foxtail barley,infested,Elevated,0,3,7,1,11,2.71,1.02,NA,NA,NA,NA
1,20,foxtail barley,infested,Elevated,1,2,29,1,33,2.23,0.82,NA,NA,NA,NA
1,31,green foxtail,infested,Ambient,0,3,6,1,10,7.09,0.4,NA,NA,NA,NA
1,32,green foxtail,infested,Ambient,1,2,0,0,3,5.96,0.45,NA,NA,NA,NA
1,33,green foxtail,infested,Ambient,0,3,0,0,3,,0.37,NA,NA,NA,NA
1,34,green foxtail,infested,Ambient,0,3,0,0,3,5.73,0.56,NA,NA,NA,NA
1,35,green foxtail,infested,Ambient,0,3,1,0,4,7.12,2.02,NA,NA,NA,NA
1,36,green foxtail,infested,Ambient,1,2,3,5,11,2.36,0.21,NA,NA,NA,NA
1,37,green foxtail,infested,Ambient,0,3,2,5,10,2.96,0.24,NA,NA,NA,NA
1,38,green foxtail,infested,Ambient,0,2,0,0,2,6.15,0.22,NA,NA,NA,NA
1,39,green foxtail,infested,Ambient,0,4,9,3,16,5.66,0.42,NA,NA,NA,NA
1,40,green foxtail,infested,Ambient,0,4,0,0,4,3.01,0.12,NA,NA,NA,NA
1,31,green foxtail,infested,Elevated,0,3,0,0,3,8.8,1.19,NA,NA,NA,NA
1,32,green foxtail,infested,Elevated,0,3,0,0,3,6.05,0.85,NA,NA,NA,NA
1,33,green foxtail,infested,Elevated,0,3,2,12,17,6.62,0.76,NA,NA,NA,NA
1,34,green foxtail,infested,Elevated,0,3,1,0,4,3.84,0.41,NA,NA,NA,NA
1,35,green foxtail,infested,Elevated,0,3,0,0,3,6.39,0.33,NA,NA,NA,NA
1,36,green foxtail,infested,Elevated,0,3,0,0,3,8.13,1.21,NA,NA,NA,NA
1,37,green foxtail,infested,Elevated,0,3,0,0,3,4.84,0.29,NA,NA,NA,NA
1,38,green foxtail,infested,Elevated,0,3,1,1,5,4.6,0.43,NA,NA,NA,NA
1,39,green foxtail,infested,Elevated,0,3,2,1,6,4.29,0.37,NA,NA,NA,NA
1,40,green foxtail,infested,Elevated,0,4,0,0,4,2.43,0.17,NA,NA,NA,NA
1,51,winter wheat,infested,Ambient,2,1,22,0,25,,0.24,NA,NA,NA,NA
1,52,winter wheat,infested,Ambient,1,2,45,1,49,1.66,0.4,NA,NA,NA,NA
1,53,winter wheat,infested,Ambient,0,3,0,0,3,1.78,0.38,NA,NA,NA,NA
1,54,winter wheat,infested,Ambient,0,3,6,0,9,1.62,0.25,NA,NA,NA,NA
1,55,winter wheat,infested,Ambient,1,2,5,0,8,2.1,0.5,NA,NA,NA,NA
1,56,winter wheat,infested,Ambient,1,2,14,0,17,1.45,0.19,NA,NA,NA,NA
1,57,winter wheat,infested,Ambient,2,1,30,2,35,0.7,0.07,NA,NA,NA,NA
1,58,winter wheat,infested,Ambient,1,2,22,0,25,1.95,0.39,NA,NA,NA,NA
1,59,winter wheat,infested,Ambient,1,2,11,1,15,1.07,0.27,NA,NA,NA,NA
1,60,winter wheat,infested,Ambient,0,3,3,0,6,1.08,0.14,NA,NA,NA,NA
1,51,winter wheat,infested,Elevated,1,2,26,0,29,2.49,0.52,NA,NA,NA,NA
1,52,winter wheat,infested,Elevated,0,4,13,0,17,1.43,0.19,NA,NA,NA,NA
1,53,winter wheat,infested,Elevated,2,1,45,0,48,3.2,0.75,NA,NA,NA,NA
1,54,winter wheat,infested,Elevated,1,2,33,2,38,2.1,0.56,NA,NA,NA,NA
1,55,winter wheat,infested,Elevated,0,3,9,1,13,2.88,0.78,NA,NA,NA,NA
1,56,winter wheat,infested,Elevated,0,3,5,1,9,1.44,0.13,NA,NA,NA,NA
1,57,winter wheat,infested,Elevated,3,0,56,0,59,2.44,0.58,NA,NA,NA,NA
1,58,winter wheat,infested,Elevated,2,2,46,1,51,1.71,0.48,NA,NA,NA,NA
1,59,winter wheat,infested,Elevated,2,1,35,1,39,0.85,0.02,NA,NA,NA,NA
1,60,winter wheat,infested,Elevated,3,2,63,0,68,0.75,0.07,NA,NA,NA,NA
2,1,foxtail barley,ctrl,Ambient,NA,NA,NA,NA,NA,4.18,0.672,40.107,6.914,18.293,65.314
